month,year,ordinal,account,install,device,uomdesc,uom,readings,randvalue,
April,2019,144,220001842,3002673774,98369507,KWH,2,10788,7082
April,2019,145,220002067,3002667653,80395516,KRH,3,2665,523
April,2019,146,220002067,3002667653,80395516,KVA,1,387,72467
April,2019,147,220002067,3002667653,80395516,KWH,2,78380,51456
April,2019,148,220002282,3002671649,63021753,KRH,3,15931,3127
April,2019,149,220002282,3002671649,63021753,KVA,1,216,40548
April,2019,150,220002282,3002671649,63021753,KWH,2,119120,78202
April,2019,151,220002317,3002671678,63034025,KRH,3,35,7
April,2019,152,220002317,3002671678,63034025,KVA,1,130,24336
April,2019,153,220002317,3002671678,63034025,KWH,2,55052,36142
April,2019,154,220002349,3002674696,96948301,KRH,3,3741,734
April,2019,155,220002349,3002674696,96948301,KVA,1,81,15217
April,2019,156,220002349,3002674696,96948301,KWH,2,20096,13193
April,2019,157,220002363,3002674728,63036258,KRH,3,35109,6892
April,2019,158,220002363,3002674728,63036258,KVA,1,364,68253
April,2019,159,220002363,3002674728,63036258,KWH,2,270788,177772
April,2019,160,220002388,3002674745,80395336,KVA,1,258,48414
April,2019,161,220002388,3002674745,80395336,KWH,2,17732,11642
April,2019,162,220002395,3002674756,98453091,KRH,3,7438,1460
April,2019,163,220002395,3002674756,98453091,KVA,1,85,16011
April,2019,164,220002395,3002674756,98453091,KWH,2,57310,37624
April,2019,165,220002500,3002667759,80395546,KRH,3,12794,2512
April,2019,166,220002500,3002667759,80395546,KVA,1,227,42572
April,2019,167,220002500,3002667759,80395546,KWH,2,73304,48124
April,2019,168,220002780,3002671390,63034152,KRH,3,8480,1665
April,2019,169,220002780,3002671390,63034152,KVA,1,82,15369
April,2019,170,220002780,3002671390,63034152,KWH,2,52958,34767
April,2019,171,220002853,3002671448,63172386,KVA,1,70,13104
April,2019,172,220002853,3002671448,63172386,KWH,2,29820,19577
April,2019,173,220003550,3002672203,99633133,KVA,1,70,13104
April,2019,174,220003550,3002672203,99633133,KWH,2,15680,10294
April,2019,175,220003695,3002667152,63021533,KVA,1,187,35156
April,2019,176,220003695,3002667152,63021533,KWH,2,112486,73847
April,2019,177,220004353,3003007921,83834616,KVA,1,162,30413
April,2019,178,220004353,3003007921,83834616,KWH,2,84732,55627
April,2019,179,220004716,3002652854,96948427,KRH,3,11156,2190
April,2019,180,220004716,3002652854,96948427,KVA,1,264,49471
April,2019,181,220004716,3002652854,96948427,KWH,2,60650,39817
April,2019,182,220004794,3002668692,98369273,KRH,3,5571,1094
April,2019,183,220004794,3002668692,98369273,KVA,1,172,32333
April,2019,184,220004794,3002668692,98369273,KWH,2,101694,66762
April,2019,185,220004804,3002668695,63029422,KVA,1,70,13104
April,2019,186,220004804,3002668695,63029422,KWH,2,76,50
April,2019,187,220004850,3002668723,80395155,KVA,1,73,13802
April,2019,188,220004850,3002668723,80395155,KWH,2,65086,42729
April,2019,189,220004868,3002677026,96879749,KRH,3,43259,8492
April,2019,190,220004868,3002677026,96879749,KVA,1,965,180648
April,2019,191,220004868,3002677026,96879749,KWH,2,722076,474043
April,2019,192,220004917,3002668765,85750313,KRH,3,453,89
April,2019,193,220004917,3002668765,85750313,KVA,1,70,13104
April,2019,194,220004917,3002668765,85750313,KWH,2,1128,741
April,2019,195,220005300,3003565360,85750132,KVA,1,970,181584
April,2019,196,220005300,3003565360,85750132,KWH,2,44000,28886
April,2019,197,220005540,3002669118,98368005,KRH,3,1503,295
April,2019,198,220005540,3002669118,98368005,KVA,1,149,27917
April,2019,199,220005540,3002669118,98368005,KWH,2,76140,49986
April,2019,200,220005614,3002669141,80395168,KVA,1,273,51106
April,2019,201,220005614,3002669141,80395168,KWH,2,88964,58405
April,2019,202,220005879,3002669265,85189539,KRH,3,1807,355
April,2019,203,220005879,3002669265,85189539,KVA,1,119,22277
April,2019,204,220005879,3002669265,85189539,KWH,2,20374,13376
April,2019,205,220006008,3002672737,94918029,KRH,3,946,186
April,2019,206,220006008,3002672737,94918029,KVA,1,70,13104
April,2019,207,220006008,3002672737,94918029,KWH,2,18386,12070
April,2019,208,220006015,3002672740,98370206,KRH,3,1588,312
April,2019,209,220006015,3002672740,98370206,KVA,1,86,16266
