category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,499,June,2019,504143720,Portion 10 of ERF 23 of OAKDENE,T0IR0486000000000230001000,Non Residential,73,OAK AVENUE,OAKDENE,220021239,3002667999,63032117,KRH,3,1229,241,0
LPU-Demand  | LV,500,June,2019,500235233,ERF 17 of ROBERTSHAM,T0IR0567000000000170000000,Non Residential,17,JASPER ROAD,ROBERTSHAM,220021366,3002668084,98453277,KVA,1,70,13104,0
LPU-Demand  | LV,501,June,2019,500235233,ERF 17 of ROBERTSHAM,T0IR0567000000000170000000,Non Residential,17,JASPER ROAD,ROBERTSHAM,220021366,3002668084,98453277,KWH,2,18758,12315,0
LPU-Demand  | LV,502,June,2019,500258167,ERF 58 of ROBERTSHAM,T0IR0567000000000580000000,Non Residential,56,MOUNT IDA ROAD,ROBERTSHAM,220021454,3002671765,93936643,KVA,1,152,28511,0
LPU-Demand  | LV,503,June,2019,500258167,ERF 58 of ROBERTSHAM,T0IR0567000000000580000000,Non Residential,56,MOUNT IDA ROAD,ROBERTSHAM,220021454,3002671765,93936643,KWH,2,113016,74195,0
LPU-Demand  | LV,504,June,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KVA,1,70,13104,0
LPU-Demand  | LV,505,June,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KWH,2,15244,10008,0
LPU-Demand  | LV,506,June,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KRH,3,2741,538,0
LPU-Demand  | LV,507,June,2019,500212998,ERF 169 of ROBERTSHAM,T0IR0567000000001690000000,Non Residential,92,HARRY STREET,ROBERTSHAM,220021648,3002675095,63012245,KVA,1,70,13104,0
LPU-Demand  | LV,508,June,2019,500212998,ERF 169 of ROBERTSHAM,T0IR0567000000001690000000,Non Residential,92,HARRY STREET,ROBERTSHAM,220021648,3002675095,63012245,KWH,2,9322,6120,0
LPU-Demand  | LV,509,June,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KVA,1,141,26509,0
LPU-Demand  | LV,510,June,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KWH,2,46682,30647,0
LPU-Demand  | LV,511,June,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KRH,3,2987,586,0
LPU-Demand  | LV,512,June,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KVA,1,207,38750,0
LPU-Demand  | LV,513,June,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KWH,2,96000,64312,0
LPU-Demand  | LV,514,June,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KRH,3,3003,590,0
LPU-Demand  | LV,515,June,2019,500246965,ERF 1616 of ROBERTSHAM,T0IR0567000000016160000000,Non Residential,12,KINDON ROAD,ROBERTSHAM,220021750,3002652366,98453038,KVA,1,83,15577,0
LPU-Demand  | LV,516,June,2019,500246965,ERF 1616 of ROBERTSHAM,T0IR0567000000016160000000,Non Residential,12,KINDON ROAD,ROBERTSHAM,220021750,3002652366,98453038,KWH,2,36546,23992,0
LPU-Demand  | LV,517,June,2019,551145267,ERF 929 of ROSETTENVILLE,T0IR0575000000009290000000,Non Residential,120,VICTORIA STREET,ROSETTENVILLE,220021782,3002652388,98368108,KVA,1,180,33800,0
LPU-Demand  | LV,518,June,2019,551145267,ERF 929 of ROSETTENVILLE,T0IR0575000000009290000000,Non Residential,120,VICTORIA STREET,ROSETTENVILLE,220021782,3002652388,98368108,KWH,2,102608,67362,0
LPU-Demand  | LV,519,June,2019,500213053,ERF 936 of ROSETTENVILLE,T0IR0575000000009360000000,Non Residential,71,DAISY STREET,ROSETTENVILLE,220021790,3002652397,98370567,KVA,1,70,13104,0
LPU-Demand  | LV,520,June,2019,500213053,ERF 936 of ROSETTENVILLE,T0IR0575000000009360000000,Non Residential,71,DAISY STREET,ROSETTENVILLE,220021790,3002652397,98370567,KWH,2,43454,28528,0
LPU-Demand  | LV,521,June,2019,500213127,Portion 1 of ERF 119 of PIONEERS PARK 119-IR,T0IR0000119000001190000100,PSI,,,PIONEERS PARK 119-IR,220021937,3002670520,63020316,KVA,1,70,13104,0
LPU-Demand  | LV,522,June,2019,500213127,Portion 1 of ERF 119 of PIONEERS PARK 119-IR,T0IR0000119000001190000100,PSI,,,PIONEERS PARK 119-IR,220021937,3002670520,63020316,KWH,2,18935,12686,0
LPU-Demand  | LV,523,June,2019,300955604,ERF 1002 of FLORIDA PARK EXT.3,T0IQ0127003000010020000000,Registered Parcel,389C,ONTDEKKERS SERVICE ROAD,FLORIDA PARK,220022507,3002667575,98452729,KVA,1,90,16948,0
LPU-Demand  | LV,524,June,2019,300955604,ERF 1002 of FLORIDA PARK EXT.3,T0IQ0127003000010020000000,Registered Parcel,389C,ONTDEKKERS SERVICE ROAD,FLORIDA PARK,220022507,3002667575,98452729,KWH,2,24776,16265,0
LPU-Demand  | LV,525,June,2019,300957104,ERF 1202 of FLORIDA PARK EXT.3,T0IQ0127003000012020000000,Non Residential,121,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022514,3002667594,98370674,KVA,1,70,13104,0
LPU-Demand  | LV,526,June,2019,300957104,ERF 1202 of FLORIDA PARK EXT.3,T0IQ0127003000012020000000,Non Residential,121,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022514,3002667594,98370674,KWH,2,17128,11245,0
LPU-Demand  | LV,527,June,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KVA,1,1930,361296,0
LPU-Demand  | LV,528,June,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KWH,2,1951396,1281091,0
LPU-Demand  | LV,529,June,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KRH,3,143604,28190,0
LPU-Demand  | LV,530,June,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KVA,1,122,22843,0
LPU-Demand  | LV,531,June,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KWH,2,20232,13282,0
LPU-Demand  | LV,532,June,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KRH,3,1282,252,0
LPU-Demand  | LV,533,June,2019,501945483,ERF 319 of CITY AND SUBURBAN,T0IR0133000000003190000000,Registered Parcel,190,ANDERSON STREET,CITY AND SUBURBAN,220023571,3002654217,98370333,KVA,1,70,13104,0
LPU-Demand  | LV,534,June,2019,501945483,ERF 319 of CITY AND SUBURBAN,T0IR0133000000003190000000,Registered Parcel,190,ANDERSON STREET,CITY AND SUBURBAN,220023571,3002654217,98370333,KWH,2,18496,12143,0
LPU-Demand  | LV,535,June,2019,504470809,ERF 389 of CITY AND SUBURBAN,T0IR0133000000003890000000,Non Residential,124,ALBERT STREET,CITY AND SUBURBAN,220023589,3002654228,93708080,KVA,1,70,13104,0
LPU-Demand  | LV,536,June,2019,504470809,ERF 389 of CITY AND SUBURBAN,T0IR0133000000003890000000,Non Residential,124,ALBERT STREET,CITY AND SUBURBAN,220023589,3002654228,93708080,KWH,2,13780,9047,0
LPU-Demand  | LV,537,June,2019,501880980,ERF 717 of CITY AND SUBURBAN,T0IR0133000000007170000000,Non Residential,138,ALBERT STREET,CITY AND SUBURBAN,220023797,3002668378,63034244,KVA,1,70,13104,0
LPU-Demand  | LV,538,June,2019,501880980,ERF 717 of CITY AND SUBURBAN,T0IR0133000000007170000000,Non Residential,138,ALBERT STREET,CITY AND SUBURBAN,220023797,3002668378,63034244,KWH,2,30444,19986,0
LPU-Demand  | LV,539,June,2019,501881007,ERF 725 of CITY AND SUBURBAN,T0IR0133000000007250000000,Non Residential,49,DURBAN STREET,CITY AND SUBURBAN,220023807,3002705295,63054850,KVA,1,83,15669,0
LPU-Demand  | LV,540,June,2019,501881007,ERF 725 of CITY AND SUBURBAN,T0IR0133000000007250000000,Non Residential,49,DURBAN STREET,CITY AND SUBURBAN,220023807,3002705295,63054850,KWH,2,72954,47894,0
LPU-Demand  | LV,541,June,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KVA,1,88,16524,0
LPU-Demand  | LV,542,June,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KWH,2,30962,20327,0
LPU-Demand  | LV,543,June,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KRH,3,1723,338,0
LPU-Demand  | LV,544,June,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KVA,1,77,14427,0
LPU-Demand  | LV,545,June,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KWH,2,17988,11809,0
LPU-Demand  | LV,546,June,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KRH,3,1207,237,0
LPU-Demand  | LV,547,June,2019,503314028,ERF 1073 of CITY AND SUBURBAN EXT.2,T0IR0133002000010730000000,Non Residential,17,MOOI STREET,CITY AND SUBURBAN,220024046,3002672165,93935332,KVA,1,70,13104,0
LPU-Demand  | LV,548,June,2019,503314028,ERF 1073 of CITY AND SUBURBAN EXT.2,T0IR0133002000010730000000,Non Residential,17,MOOI STREET,CITY AND SUBURBAN,220024046,3002672165,93935332,KWH,2,13446,8827,0
LPU-Demand  | LV,549,June,2019,501952177,ERF 1116 of CITY AND SUBURBAN EXT.3,T0IR0133003000011160000000,Non Residential,1,M2 RAMP,CITY AND SUBURBAN,220024092,3002672199,63035972,KVA,1,70,13104,0
LPU-Demand  | LV,550,June,2019,501952177,ERF 1116 of CITY AND SUBURBAN EXT.3,T0IR0133003000011160000000,Non Residential,1,M2 RAMP,CITY AND SUBURBAN,220024092,3002672199,63035972,KWH,2,28486,18701,0
LPU-Demand  | LV,551,June,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024342,3002667179,80395458,KVA,1,397,74318,0
LPU-Demand  | LV,552,June,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024342,3002667179,80395458,KWH,2,18935,12686,0
LPU-Demand  | LV,553,June,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024350,3002667183,63021770,KVA,1,221,41479,0
LPU-Demand  | LV,554,June,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024350,3002667183,63021770,KWH,2,173781,114689,0
LPU-Demand  | LV,555,June,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KVA,1,70,13104,0
LPU-Demand  | LV,556,June,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KWH,2,21010,13793,0
LPU-Demand  | LV,557,June,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KRH,3,4645,912,0
LPU-Demand  | LV,558,June,2019,501949569,ERF 1603 of ROBERTSHAM,T0IR0567000000016030000000,PSI,11,PORT ROAD,ROBERTSHAM,220024504,3002667255,63191920,KVA,1,70,13104,0
LPU-Demand  | LV,559,June,2019,501949569,ERF 1603 of ROBERTSHAM,T0IR0567000000016030000000,PSI,11,PORT ROAD,ROBERTSHAM,220024504,3002667255,63191920,KWH,2,54948,36073,0
LPU-Demand  | LV,560,June,2019,553411683,ERF 1614 of ROBERTSHAM,T0IR0567000000016140000000,Non Residential,2,BENJAMIN STREET,ROBERTSHAM,220024536,3002667274,63021800,KVA,1,70,13104,0
LPU-Demand  | LV,561,June,2019,553411683,ERF 1614 of ROBERTSHAM,T0IR0567000000016140000000,Non Residential,2,BENJAMIN STREET,ROBERTSHAM,220024536,3002667274,63021800,KWH,2,17724,11636,0
LPU-Demand  | LV,562,June,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KVA,1,161,30252,0
LPU-Demand  | LV,563,June,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KWH,2,49552,32531,0
LPU-Demand  | LV,564,June,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KRH,3,7572,1486,0
LPU-Demand  | LV,565,June,2019,553927622,Portion 16 of ERF 49 of TURFFONTEIN,T0IR0673000000000490001600,Non Residential,103,DONNELLY STREET,TURFFONTEIN,220024582,3002671109,207701505,KVA,1,70,13104,0
LPU-Demand  | LV,566,June,2019,553927622,Portion 16 of ERF 49 of TURFFONTEIN,T0IR0673000000000490001600,Non Residential,103,DONNELLY STREET,TURFFONTEIN,220024582,3002671109,207701505,KWH,2,13734,9016,0
LPU-Demand  | LV,567,June,2019,501935245,ERF 1234 of TURFFONTEIN,T0IR0673000000012340000000,Non Residential,68,TRAMWAY STREET,TURFFONTEIN,220024656,3002671159,207742229,KVA,1,84,15822,0
LPU-Demand  | LV,568,June,2019,501935245,ERF 1234 of TURFFONTEIN,T0IR0673000000012340000000,Non Residential,68,TRAMWAY STREET,TURFFONTEIN,220024656,3002671159,207742229,KWH,2,21597,14434,0
LPU-Demand  | LV,569,June,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KVA,1,104,19605,0
LPU-Demand  | LV,570,June,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KWH,2,142036,94989,0
LPU-Demand  | LV,571,June,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KRH,3,24286,4767,0
LPU-Demand  | LV,572,June,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KVA,1,660,123552,0
LPU-Demand  | LV,573,June,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KWH,2,685059,458143,0
LPU-Demand  | LV,574,June,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KRH,3,39887,7830,0
LPU-Demand  | LV,575,June,2019,501892707,REM of ERF 32 of WEST TURFFONTEIN,T0IR07230000000003200000RE,Non Residential,,,WEST TURFFONTEIN,220024776,3002671242,98452905,KVA,1,157,29529,0
LPU-Demand  | LV,576,June,2019,501892707,REM of ERF 32 of WEST TURFFONTEIN,T0IR07230000000003200000RE,Non Residential,,,WEST TURFFONTEIN,220024776,3002671242,98452905,KWH,2,1026,674,0
LPU-Demand  | LV,577,June,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KVA,1,309,57845,0
LPU-Demand  | LV,578,June,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KWH,2,104392,68533,0
LPU-Demand  | LV,579,June,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KRH,3,20425,4009,0
LPU-Demand  | LV,580,June,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KVA,1,287,53859,0
LPU-Demand  | LV,581,June,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KWH,2,117018,76822,0
LPU-Demand  | LV,582,June,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KRH,3,12138,2383,0
LPU-Demand  | LV,583,June,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KVA,1,132,24860,0
LPU-Demand  | LV,584,June,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KWH,2,28586,18767,0
LPU-Demand  | LV,585,June,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KRH,3,2372,466,0
LPU-Demand  | LV,586,June,2019,501937147,ERF 53 of WEST TURFFONTEIN,T0IR0723000000000530000000,Non Residential,88,SIDE ROAD,WEST TURFFONTEIN,220024871,3002676581,63020652,KVA,1,84,15795,0
LPU-Demand  | LV,587,June,2019,501937147,ERF 53 of WEST TURFFONTEIN,T0IR0723000000000530000000,Non Residential,88,SIDE ROAD,WEST TURFFONTEIN,220024871,3002676581,63020652,KWH,2,9440,6197,0
LPU-Demand  | LV,588,June,2019,501937147,ERF 53 of WEST TURFFONTEIN,T0IR0723000000000530000000,Non Residential,88,SIDE ROAD,WEST TURFFONTEIN,220024871,3002676581,63020652,KRH,3,882,173,0
LPU-Demand  | LV,589,June,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KVA,1,92,17222,0
LPU-Demand  | LV,590,June,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KWH,2,13432,8818,0
LPU-Demand  | LV,591,June,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KRH,3,2409,473,0
LPU-Demand  | LV,592,June,2019,501931071,REM of Portion 133 of ERF 100 of TURFFONTEIN 100-IR,T0IR00001000000010000133RE,Non Residential,14,SIDE ROAD,WEST TURFFONTEIN,220025089,3003519464,63029347,KVA,1,70,13104,0
LPU-Demand  | LV,593,June,2019,501931071,REM of Portion 133 of ERF 100 of TURFFONTEIN 100-IR,T0IR00001000000010000133RE,Non Residential,14,SIDE ROAD,WEST TURFFONTEIN,220025089,3003519464,63029347,KWH,2,16084,10559,0
LPU-Demand  | LV,594,June,2019,501275870,ERF 756 of CITY AND SUBURBAN,T0IR0133000000007560000000,Non Residential,77,DURBAN STREET,CITY AND SUBURBAN,220025160,3002652771,63021123,KVA,1,288,54063,0
LPU-Demand  | LV,595,June,2019,501275870,ERF 756 of CITY AND SUBURBAN,T0IR0133000000007560000000,Non Residential,77,DURBAN STREET,CITY AND SUBURBAN,220025160,3002652771,63021123,KWH,2,1080,709,0
LPU-Demand  | LV,596,June,2019,503665643,ERF 841 of CITY AND SUBURBAN,T0IR0133000000008410000000,Non Residential,278,COMMISSIONER STREET,CITY AND SUBURBAN,220025233,3002652801,63029832,KVA,1,70,13104,0
LPU-Demand  | LV,597,June,2019,503665643,ERF 841 of CITY AND SUBURBAN,T0IR0133000000008410000000,Non Residential,278,COMMISSIONER STREET,CITY AND SUBURBAN,220025233,3002652801,63029832,KWH,2,11072,7269,0
LPU-Demand  | LV,598,June,2019,501218336,ERF 911 of CITY AND SUBURBAN,T0IR0133000000009110000000,Non Residential,202,FAWCUS STREET,CITY AND SUBURBAN,220025240,3002652807,63038288,KWH,2,908,594,0
LPU-Demand  | LV,599,June,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KVA,1,128,24018,0
LPU-Demand  | LV,600,June,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KWH,2,90404,59350,0
LPU-Demand  | LV,601,June,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KRH,3,4047,795,0
LPU-Demand  | LV,602,June,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KVA,1,156,29334,0
LPU-Demand  | LV,603,June,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KWH,2,20304,13330,0
LPU-Demand  | LV,604,June,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KRH,3,62,12,0
LPU-Demand  | LV,605,June,2019,501293301,ERF 35 of DEVLAND,T0IQ0082000000000350000000,Non Residential,63,GIBBS ROAD,DEVLAND,220025498,3002668725,98369185,KVA,1,241,45282,0
LPU-Demand  | LV,606,June,2019,501293301,ERF 35 of DEVLAND,T0IQ0082000000000350000000,Non Residential,63,GIBBS ROAD,DEVLAND,220025498,3002668725,98369185,KWH,2,114662,75276,0
LPU-Demand  | LV,607,June,2019,501265470,ERF 75 of DEVLAND,T0IQ0082000000000750000000,Non Residential,9,GIBBS ROAD,DEVLAND,220025530,3002668743,94918095,KVA,1,288,53976,0
LPU-Demand  | LV,608,June,2019,501265470,ERF 75 of DEVLAND,T0IQ0082000000000750000000,Non Residential,9,GIBBS ROAD,DEVLAND,220025530,3002668743,94918095,KWH,2,179116,117590,0
LPU-Demand  | LV,609,June,2019,501275895,ERF 117 of DEVLAND EXT.1,T0IQ0082001000001170000000,Non Residential,56,EAST STREET,DEVLAND,220025603,3002676598,83834730,KVA,1,101,19042,0
LPU-Demand  | LV,610,June,2019,501275895,ERF 117 of DEVLAND EXT.1,T0IQ0082001000001170000000,Non Residential,56,EAST STREET,DEVLAND,220025603,3002676598,83834730,KWH,2,25402,16676,0
LPU-Demand  | LV,611,June,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KVA,1,137,25650,0
LPU-Demand  | LV,612,June,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KWH,2,56809,38058,0
LPU-Demand  | LV,613,June,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KRH,3,946,186,0
LPU-Demand  | LV,614,June,2019,551474913,ERF 148 of DEVLAND EXT.1,T0IQ0082001000001480000000,Non Residential,46,EAST STREET,DEVLAND,220025635,3002668788,63034293,KVA,1,318,59614,0
LPU-Demand  | LV,615,June,2019,551474913,ERF 148 of DEVLAND EXT.1,T0IQ0082001000001480000000,Non Residential,46,EAST STREET,DEVLAND,220025635,3002668788,63034293,KWH,2,136702,89745,0
LPU-Demand  | LV,616,June,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KVA,1,88,16646,0
LPU-Demand  | LV,617,June,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KWH,2,28546,18740,0
LPU-Demand  | LV,618,June,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KRH,3,292,57,0
LPU-Demand  | LV,619,June,2019,501280493,ERF 560 of MONDEOR,T0IR0444000000005600000000,Non Residential,271,COLUMBINE AVENUE,MONDEOR,220025924,3002672565,63030137,KVA,1,70,13104,0
LPU-Demand  | LV,620,June,2019,501280493,ERF 560 of MONDEOR,T0IR0444000000005600000000,Non Residential,271,COLUMBINE AVENUE,MONDEOR,220025924,3002672565,63030137,KWH,2,36544,23991,0
LPU-Demand  | LV,621,June,2019,501220984,ERF 1314 of MONDEOR,T0IR0444000000013140000000,Non Residential,92,ORMONDE DRIVE,MONDEOR,220025963,3002672595,98369546,KVA,1,70,13104,0
LPU-Demand  | LV,622,June,2019,501220984,ERF 1314 of MONDEOR,T0IR0444000000013140000000,Non Residential,92,ORMONDE DRIVE,MONDEOR,220025963,3002672595,98369546,KWH,2,12736,8361,0
LPU-Demand  | LV,623,June,2019,553904449,ERF 1511 of MONDEOR,T0IR0444000000015110000000,Non Residential,200,BEAUVAL AVENUE,MONDEOR,220025995,3002676608,93707929,KVA,1,92,17379,0
