category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,46,June,2019,205927910,ERF 18 of KILLARNEY,T0IR0365000000000180000000,Registered Parcel,31,FIRST STREET,KILLARNEY,205927910,3003728354,63029576,KVA,1,82,15444,0
LPU-Demand  | LV,47,June,2019,205927910,ERF 18 of KILLARNEY,T0IR0365000000000180000000,Registered Parcel,31,FIRST STREET,KILLARNEY,205927910,3003728354,63029576,KWH,2,67283,45075,0
LPU-Demand  | LV,48,June,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KVA,1,133,25010,0
LPU-Demand  | LV,49,June,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KWH,2,119344,78349,0
LPU-Demand  | LV,50,June,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KRH,3,3150,618,0
LPU-Demand  | LV,51,June,2019,206148402,ERF 3992 of JOHANNESBURG,T0IQ0183000000039920000000,Non Residential,137,CLAIM STREET,Hillbrow,206148402,3002652217,63012323,KVA,1,70,13104,0
LPU-Demand  | LV,52,June,2019,206148402,ERF 3992 of JOHANNESBURG,T0IQ0183000000039920000000,Non Residential,137,CLAIM STREET,Hillbrow,206148402,3002652217,63012323,KWH,2,39990,26253,0
LPU-Demand  | LV,53,June,2019,206148402,ERF 3992 of JOHANNESBURG,T0IQ0183000000039920000000,Non Residential,137,CLAIM STREET,Hillbrow,206148402,3002652217,63012323,KRH,3,11518,2261,0
LPU-Demand  | LV,54,June,2019,206347066,Portion 20 of ERF 821 of KEW,T0IR0361000000008210002000,Non Residential,123,ELEVENTH ROAD,KEW,206347066,3002668547,63017291,KVA,1,70,13104,0
LPU-Demand  | LV,55,June,2019,206347066,Portion 20 of ERF 821 of KEW,T0IR0361000000008210002000,Non Residential,123,ELEVENTH ROAD,KEW,206347066,3002668547,63017291,KWH,2,20829,13955,0
LPU-Demand  | LV,56,June,2019,206568982,ERF 377 of BRAMLEY VIEW EXT.6,T0IR0103006000003770000000,Non Residential,17,DUBLIN ROAD,BRAMLEY VIEW,206568982,3003493943,93750628,KVA,1,80,14976,0
LPU-Demand  | LV,57,June,2019,206568982,ERF 377 of BRAMLEY VIEW EXT.6,T0IR0103006000003770000000,Non Residential,17,DUBLIN ROAD,BRAMLEY VIEW,206568982,3003493943,93750628,KWH,2,2260,1484,0
LPU-Demand  | LV,58,June,2019,206568982,ERF 377 of BRAMLEY VIEW EXT.6,T0IR0103006000003770000000,Non Residential,17,DUBLIN ROAD,BRAMLEY VIEW,206568982,3003493943,93750628,KRH,3,219,43,0
LPU-Demand  | LV,59,June,2019,206590184,Portion 6 of ERF 818 of KEW,T0IR0361000000008180000600,Non Residential,15,TENTH ROAD,KEW,206590184,3003572427,93750761,KVA,1,70,13104,0
