category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,502,May,2019,504143720,Portion 10 of ERF 23 of OAKDENE,T0IR0486000000000230001000,Non Residential,73,OAK AVENUE,OAKDENE,220021239,3002667999,63032117,KRH,3,1488,292,0
LPU-Demand  | LV,503,May,2019,504143720,Portion 10 of ERF 23 of OAKDENE,T0IR0486000000000230001000,Non Residential,73,OAK AVENUE,OAKDENE,220021239,3002667999,63032117,KVA,1,70,13104,0
LPU-Demand  | LV,504,May,2019,504143720,Portion 10 of ERF 23 of OAKDENE,T0IR0486000000000230001000,Non Residential,73,OAK AVENUE,OAKDENE,220021239,3002667999,63032117,KWH,2,22486,14762,0
LPU-Demand  | LV,505,May,2019,500235233,ERF 17 of ROBERTSHAM,T0IR0567000000000170000000,Non Residential,17,JASPER ROAD,ROBERTSHAM,220021366,3002668084,98453277,KVA,1,70,13104,0
LPU-Demand  | LV,506,May,2019,500235233,ERF 17 of ROBERTSHAM,T0IR0567000000000170000000,Non Residential,17,JASPER ROAD,ROBERTSHAM,220021366,3002668084,98453277,KWH,2,18364,12056,0
LPU-Demand  | LV,507,May,2019,500258167,ERF 58 of ROBERTSHAM,T0IR0567000000000580000000,Non Residential,56,MOUNT IDA ROAD,ROBERTSHAM,220021454,3002671765,93936643,KVA,1,156,29372,0
LPU-Demand  | LV,508,May,2019,500258167,ERF 58 of ROBERTSHAM,T0IR0567000000000580000000,Non Residential,56,MOUNT IDA ROAD,ROBERTSHAM,220021454,3002671765,93936643,KWH,2,117468,77118,0
LPU-Demand  | LV,509,May,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KWH,2,21744,14275,0
LPU-Demand  | LV,510,May,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KVA,1,70,13104,0
LPU-Demand  | LV,511,May,2019,500250760,ERF 88 of ROBERTSHAM,T0IR0567000000000880000000,Non Residential,26,JASPER ROAD,ROBERTSHAM,220021493,3002671795,63021719,KRH,3,3842,754,0
LPU-Demand  | LV,512,May,2019,500212998,ERF 169 of ROBERTSHAM,T0IR0567000000001690000000,Non Residential,92,HARRY STREET,ROBERTSHAM,220021648,3002675095,63012245,KWH,2,8944,5872,0
LPU-Demand  | LV,513,May,2019,500212998,ERF 169 of ROBERTSHAM,T0IR0567000000001690000000,Non Residential,92,HARRY STREET,ROBERTSHAM,220021648,3002675095,63012245,KVA,1,70,13104,0
LPU-Demand  | LV,514,May,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KRH,3,1980,389,0
LPU-Demand  | LV,515,May,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KWH,2,56834,37312,0
LPU-Demand  | LV,516,May,2019,552075573,ERF 1602 of ROBERTSHAM,T0IR0567000000016020000000,Non Residential,6,KINDON ROAD,ROBERTSHAM,220021711,3002652351,80395839,KVA,1,159,29845,0
LPU-Demand  | LV,517,May,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KRH,3,2377,467,0
LPU-Demand  | LV,518,May,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KWH,2,86200,56590,0
LPU-Demand  | LV,519,May,2019,500213014,ERF 1610 of ROBERTSHAM,T0IR0567000000016100000000,Non Residential,44,HARRY STREET,ROBERTSHAM,220021729,3002652353,80395103,KVA,1,207,38750,0
LPU-Demand  | LV,520,May,2019,500246965,ERF 1616 of ROBERTSHAM,T0IR0567000000016160000000,Non Residential,12,KINDON ROAD,ROBERTSHAM,220021750,3002652366,98453038,KVA,1,83,15577,0
LPU-Demand  | LV,521,May,2019,500246965,ERF 1616 of ROBERTSHAM,T0IR0567000000016160000000,Non Residential,12,KINDON ROAD,ROBERTSHAM,220021750,3002652366,98453038,KWH,2,38576,25325,0
LPU-Demand  | LV,522,May,2019,551145267,ERF 929 of ROSETTENVILLE,T0IR0575000000009290000000,Non Residential,120,VICTORIA STREET,ROSETTENVILLE,220021782,3002652388,98368108,KVA,1,180,33800,0
LPU-Demand  | LV,523,May,2019,551145267,ERF 929 of ROSETTENVILLE,T0IR0575000000009290000000,Non Residential,120,VICTORIA STREET,ROSETTENVILLE,220021782,3002652388,98368108,KWH,2,96282,63209,0
LPU-Demand  | LV,524,May,2019,500213053,ERF 936 of ROSETTENVILLE,T0IR0575000000009360000000,Non Residential,71,DAISY STREET,ROSETTENVILLE,220021790,3002652397,98370567,KWH,2,45906,30137,0
LPU-Demand  | LV,525,May,2019,500213053,ERF 936 of ROSETTENVILLE,T0IR0575000000009360000000,Non Residential,71,DAISY STREET,ROSETTENVILLE,220021790,3002652397,98370567,KVA,1,70,13104,0
LPU-Demand  | LV,526,May,2019,500213127,Portion 1 of ERF 119 of PIONEERS PARK 119-IR,T0IR0000119000001190000100,PSI,,,PIONEERS PARK 119-IR,220021937,3002670520,63020316,KVA,1,70,13104,0
LPU-Demand  | LV,527,May,2019,500213127,Portion 1 of ERF 119 of PIONEERS PARK 119-IR,T0IR0000119000001190000100,PSI,,,PIONEERS PARK 119-IR,220021937,3002670520,63020316,KWH,2,16510,10839,0
LPU-Demand  | LV,528,May,2019,300955604,ERF 1002 of FLORIDA PARK EXT.3,T0IQ0127003000010020000000,Registered Parcel,389C,ONTDEKKERS SERVICE ROAD,FLORIDA PARK,220022507,3002667575,98452729,KWH,2,25868,16982,0
LPU-Demand  | LV,529,May,2019,300955604,ERF 1002 of FLORIDA PARK EXT.3,T0IQ0127003000010020000000,Registered Parcel,389C,ONTDEKKERS SERVICE ROAD,FLORIDA PARK,220022507,3002667575,98452729,KVA,1,90,16948,0
LPU-Demand  | LV,530,May,2019,300957104,ERF 1202 of FLORIDA PARK EXT.3,T0IQ0127003000012020000000,Non Residential,121,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022514,3002667594,98370674,KVA,1,70,13104,0
LPU-Demand  | LV,531,May,2019,300957104,ERF 1202 of FLORIDA PARK EXT.3,T0IQ0127003000012020000000,Non Residential,121,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022514,3002667594,98370674,KWH,2,22614,14846,0
LPU-Demand  | LV,532,May,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KVA,1,1970,368784,0
LPU-Demand  | LV,533,May,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KWH,2,2015354,1323080,0
LPU-Demand  | LV,534,May,2019,300935171,ERF 1187 of FLORIDA PARK EXT.7,T0IQ0127007000011870000000,Non Residential,76,CHRISTIAAN DE WET ROAD,FLORIDA PARK,220022585,3002676459,98369177,KRH,3,164393,32271,0
LPU-Demand  | LV,535,May,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KRH,3,699,137,0
LPU-Demand  | LV,536,May,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KVA,1,140,26283,0
LPU-Demand  | LV,537,May,2019,504951446,ERF 16 of CHRISVILLE,T0IR0130000000000160000000,Non Residential,27,MYRNA STREET,CHRISVILLE,220023518,3002674570,80395437,KWH,2,30370,19938,0
LPU-Demand  | LV,538,May,2019,501945483,ERF 319 of CITY AND SUBURBAN,T0IR0133000000003190000000,Registered Parcel,190,ANDERSON STREET,CITY AND SUBURBAN,220023571,3002654217,98370333,KWH,2,17818,11698,0
LPU-Demand  | LV,539,May,2019,501945483,ERF 319 of CITY AND SUBURBAN,T0IR0133000000003190000000,Registered Parcel,190,ANDERSON STREET,CITY AND SUBURBAN,220023571,3002654217,98370333,KVA,1,70,13104,0
LPU-Demand  | LV,540,May,2019,504470809,ERF 389 of CITY AND SUBURBAN,T0IR0133000000003890000000,Non Residential,124,ALBERT STREET,CITY AND SUBURBAN,220023589,3002654228,93708080,KWH,2,14746,9681,0
LPU-Demand  | LV,541,May,2019,504470809,ERF 389 of CITY AND SUBURBAN,T0IR0133000000003890000000,Non Residential,124,ALBERT STREET,CITY AND SUBURBAN,220023589,3002654228,93708080,KVA,1,70,13104,0
LPU-Demand  | LV,542,May,2019,501880980,ERF 717 of CITY AND SUBURBAN,T0IR0133000000007170000000,Non Residential,138,ALBERT STREET,CITY AND SUBURBAN,220023797,3002668378,63034244,KWH,2,38508,25281,0
LPU-Demand  | LV,543,May,2019,501880980,ERF 717 of CITY AND SUBURBAN,T0IR0133000000007170000000,Non Residential,138,ALBERT STREET,CITY AND SUBURBAN,220023797,3002668378,63034244,KVA,1,70,13104,0
LPU-Demand  | LV,544,May,2019,501881007,ERF 725 of CITY AND SUBURBAN,T0IR0133000000007250000000,Non Residential,49,DURBAN STREET,CITY AND SUBURBAN,220023807,3002705295,63054850,KWH,2,67656,44416,0
LPU-Demand  | LV,545,May,2019,501881007,ERF 725 of CITY AND SUBURBAN,T0IR0133000000007250000000,Non Residential,49,DURBAN STREET,CITY AND SUBURBAN,220023807,3002705295,63054850,KVA,1,75,14096,0
LPU-Demand  | LV,546,May,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KWH,2,50538,33178,0
LPU-Demand  | LV,547,May,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KRH,3,3131,615,0
LPU-Demand  | LV,548,May,2019,501928216,ERF 1029 of CITY AND SUBURBAN EXT.1,T0IR0133001000010290000000,Non Residential,28,DURBAN STREET,CITY AND SUBURBAN,220023910,3002668481,98452810,KVA,1,88,16524,0
LPU-Demand  | LV,549,May,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KVA,1,83,15556,0
LPU-Demand  | LV,550,May,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KWH,2,20324,13343,0
LPU-Demand  | LV,551,May,2019,501934386,ERF 1041 of CITY AND SUBURBAN EXT.1,T0IR0133001000010410000000,Non Residential,5,MEIKLE STREET,CITY AND SUBURBAN,220023966,3002672108,63030015,KRH,3,1484,291,0
LPU-Demand  | LV,552,May,2019,503314028,ERF 1073 of CITY AND SUBURBAN EXT.2,T0IR0133002000010730000000,Non Residential,17,MOOI STREET,CITY AND SUBURBAN,220024046,3002672165,93935332,KVA,1,70,13104,0
LPU-Demand  | LV,553,May,2019,503314028,ERF 1073 of CITY AND SUBURBAN EXT.2,T0IR0133002000010730000000,Non Residential,17,MOOI STREET,CITY AND SUBURBAN,220024046,3002672165,93935332,KWH,2,13464,8839,0
LPU-Demand  | LV,554,May,2019,501952177,ERF 1116 of CITY AND SUBURBAN EXT.3,T0IR0133003000011160000000,Non Residential,1,M2 RAMP,CITY AND SUBURBAN,220024092,3002672199,63035972,KVA,1,70,13104,0
LPU-Demand  | LV,555,May,2019,501952177,ERF 1116 of CITY AND SUBURBAN EXT.3,T0IR0133003000011160000000,Non Residential,1,M2 RAMP,CITY AND SUBURBAN,220024092,3002672199,63035972,KWH,2,31704,20814,0
LPU-Demand  | LV,556,May,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024342,3002667179,80395458,KWH,2,16510,10839,0
LPU-Demand  | LV,557,May,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024342,3002667179,80395458,KVA,1,397,74318,0
LPU-Demand  | LV,558,May,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024350,3002667183,63021770,KWH,2,226378,148617,0
LPU-Demand  | LV,559,May,2019,501930536,ERF 654 of RIDGEWAY EXT.3,T0IQ0340003000006540000000,Non Residential,67,STEFANUS STREET,RIDGEWAY,220024350,3002667183,63021770,KVA,1,262,49121,0
LPU-Demand  | LV,560,May,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KVA,1,70,13104,0
LPU-Demand  | LV,561,May,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KRH,3,4214,827,0
LPU-Demand  | LV,562,May,2019,504468623,ERF 724 of ROBERTSHAM,T0IR0567000000007240000000,Non Residential,23,GILES STREET,ROBERTSHAM,220024470,3002667242,207739494,KWH,2,20194,13257,0
LPU-Demand  | LV,563,May,2019,501949569,ERF 1603 of ROBERTSHAM,T0IR0567000000016030000000,PSI,11,PORT ROAD,ROBERTSHAM,220024504,3002667255,63191920,KWH,2,56880,37342,0
LPU-Demand  | LV,564,May,2019,501949569,ERF 1603 of ROBERTSHAM,T0IR0567000000016030000000,PSI,11,PORT ROAD,ROBERTSHAM,220024504,3002667255,63191920,KVA,1,70,13104,0
LPU-Demand  | LV,565,May,2019,553411683,ERF 1614 of ROBERTSHAM,T0IR0567000000016140000000,Non Residential,2,BENJAMIN STREET,ROBERTSHAM,220024536,3002667274,63021800,KVA,1,70,13104,0
LPU-Demand  | LV,566,May,2019,553411683,ERF 1614 of ROBERTSHAM,T0IR0567000000016140000000,Non Residential,2,BENJAMIN STREET,ROBERTSHAM,220024536,3002667274,63021800,KWH,2,16060,10543,0
LPU-Demand  | LV,567,May,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KRH,3,8273,1624,0
LPU-Demand  | LV,568,May,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KWH,2,50978,33467,0
LPU-Demand  | LV,569,May,2019,502154808,ERF 1625 of ROBERTSHAM,T0IR0567000000016250000000,Non Residential,35,PORT ROAD,ROBERTSHAM,220024550,3002667284,63029024,KVA,1,149,27980,0
LPU-Demand  | LV,570,May,2019,553927622,Portion 16 of ERF 49 of TURFFONTEIN,T0IR0673000000000490001600,Non Residential,103,DONNELLY STREET,TURFFONTEIN,220024582,3002671109,207701505,KVA,1,70,13104,0
LPU-Demand  | LV,571,May,2019,501935245,ERF 1234 of TURFFONTEIN,T0IR0673000000012340000000,Non Residential,68,TRAMWAY STREET,TURFFONTEIN,220024656,3002671159,207742229,KVA,1,139,26179,0
LPU-Demand  | LV,572,May,2019,501935245,ERF 1234 of TURFFONTEIN,T0IR0673000000012340000000,Non Residential,68,TRAMWAY STREET,TURFFONTEIN,220024656,3002671159,207742229,KRH,3,20171,3960,0
LPU-Demand  | LV,573,May,2019,501935245,ERF 1234 of TURFFONTEIN,T0IR0673000000012340000000,Non Residential,68,TRAMWAY STREET,TURFFONTEIN,220024656,3002671159,207742229,KWH,2,97278,63863,0
LPU-Demand  | LV,574,May,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KRH,3,20292,3983,0
LPU-Demand  | LV,575,May,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KVA,1,104,19605,0
LPU-Demand  | LV,576,May,2019,501945758,ERF 1734 of TURFFONTEIN,T0IR0673000000017340000000,Non Residential,134,HIGH STREET,TURFFONTEIN,220024720,3002671203,96948416,KWH,2,113296,74379,0
LPU-Demand  | LV,577,May,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KWH,2,506326,332403,0
LPU-Demand  | LV,578,May,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KRH,3,24207,4752,0
LPU-Demand  | LV,579,May,2019,501939377,REM of ERF 1732 of TURFFONTEIN EXT.2,T0IR06730020000173200000RE,Non Residential,255,TURF ROAD,TURFFONTEIN,220024737,3002671209,63029492,KVA,1,660,123552,0
LPU-Demand  | LV,580,May,2019,501892707,REM of ERF 32 of WEST TURFFONTEIN,T0IR07230000000003200000RE,Non Residential,,,WEST TURFFONTEIN,220024776,3002671242,98452905,KWH,2,1310,860,0
LPU-Demand  | LV,581,May,2019,501892707,REM of ERF 32 of WEST TURFFONTEIN,T0IR07230000000003200000RE,Non Residential,,,WEST TURFFONTEIN,220024776,3002671242,98452905,KVA,1,157,29529,0
LPU-Demand  | LV,582,May,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KVA,1,309,57845,0
LPU-Demand  | LV,583,May,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KRH,3,20046,3935,0
LPU-Demand  | LV,584,May,2019,501892721,ERF 42 of WEST TURFFONTEIN,T0IR0723000000000420000000,Non Residential,130,SIDE ROAD,WEST TURFFONTEIN,220024800,3002671251,83834481,KWH,2,105326,69147,0
LPU-Demand  | LV,585,May,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KWH,2,98118,64414,0
LPU-Demand  | LV,586,May,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KVA,1,264,49421,0
LPU-Demand  | LV,587,May,2019,501937972,ERF 43 of WEST TURFFONTEIN,T0IR0723000000000430000000,Non Residential,128,SIDE ROAD,WEST TURFFONTEIN,220024818,3002671257,80395123,KRH,3,12783,2509,0
LPU-Demand  | LV,588,May,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KVA,1,155,29035,0
LPU-Demand  | LV,589,May,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KRH,3,2707,531,0
LPU-Demand  | LV,590,May,2019,501892739,ERF 44 of WEST TURFFONTEIN,T0IR0723000000000440000000,Non Residential,124,SIDE ROAD,WEST TURFFONTEIN,220024825,3002671263,63030079,KWH,2,36018,23646,0
LPU-Demand  | LV,591,May,2019,501937147,ERF 53 of WEST TURFFONTEIN,T0IR0723000000000530000000,Non Residential,88,SIDE ROAD,WEST TURFFONTEIN,220024871,3002676581,63020652,KVA,1,132,24601,0
LPU-Demand  | LV,592,May,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KVA,1,92,17222,0
LPU-Demand  | LV,593,May,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KRH,3,2343,460,0
LPU-Demand  | LV,594,May,2019,503712886,ERF 1849 of WINCHESTER HILLS EXT.3,T0IR0732003000018490000000,Non Residential,9,VLEIROOS STREET,Winchester Hills,220024938,3003592384,98369663,KWH,2,13366,8775,0
LPU-Demand  | LV,595,May,2019,501931071,REM of Portion 133 of ERF 100 of TURFFONTEIN 100-IR,T0IR00001000000010000133RE,Non Residential,14,SIDE ROAD,WEST TURFFONTEIN,220025089,3003519464,63029347,KWH,2,15240,10005,0
LPU-Demand  | LV,596,May,2019,501931071,REM of Portion 133 of ERF 100 of TURFFONTEIN 100-IR,T0IR00001000000010000133RE,Non Residential,14,SIDE ROAD,WEST TURFFONTEIN,220025089,3003519464,63029347,KVA,1,70,13104,0
LPU-Demand  | LV,597,May,2019,501275870,ERF 756 of CITY AND SUBURBAN,T0IR0133000000007560000000,Non Residential,77,DURBAN STREET,CITY AND SUBURBAN,220025160,3002652771,63021123,KVA,1,288,54063,0
LPU-Demand  | LV,598,May,2019,501275870,ERF 756 of CITY AND SUBURBAN,T0IR0133000000007560000000,Non Residential,77,DURBAN STREET,CITY AND SUBURBAN,220025160,3002652771,63021123,KWH,2,1404,922,0
LPU-Demand  | LV,599,May,2019,503665643,ERF 841 of CITY AND SUBURBAN,T0IR0133000000008410000000,Non Residential,278,COMMISSIONER STREET,CITY AND SUBURBAN,220025233,3002652801,63029832,KVA,1,70,13104,0
LPU-Demand  | LV,600,May,2019,503665643,ERF 841 of CITY AND SUBURBAN,T0IR0133000000008410000000,Non Residential,278,COMMISSIONER STREET,CITY AND SUBURBAN,220025233,3002652801,63029832,KWH,2,10862,7131,0
LPU-Demand  | LV,601,May,2019,501218336,ERF 911 of CITY AND SUBURBAN,T0IR0133000000009110000000,Non Residential,202,FAWCUS STREET,CITY AND SUBURBAN,220025240,3002652807,63038288,KRH,3,154,30,0
LPU-Demand  | LV,602,May,2019,501218336,ERF 911 of CITY AND SUBURBAN,T0IR0133000000009110000000,Non Residential,202,FAWCUS STREET,CITY AND SUBURBAN,220025240,3002652807,63038288,KVA,1,80,14976,0
LPU-Demand  | LV,603,May,2019,501218336,ERF 911 of CITY AND SUBURBAN,T0IR0133000000009110000000,Non Residential,202,FAWCUS STREET,CITY AND SUBURBAN,220025240,3002652807,63038288,KWH,2,1956,1285,0
LPU-Demand  | LV,604,May,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KWH,2,88220,57916,0
LPU-Demand  | LV,605,May,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KVA,1,126,23606,0
LPU-Demand  | LV,606,May,2019,501271107,ERF 1151 of CITY AND SUBURBAN,T0IR0133000000011510000000,Non Residential,290,COMMISSIONER STREET,CITY AND SUBURBAN,220025272,3002652819,93936467,KRH,3,4446,873,0
LPU-Demand  | LV,607,May,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KWH,2,30098,19759,0
LPU-Demand  | LV,608,May,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KRH,3,615,121,0
LPU-Demand  | LV,609,May,2019,501218495,ERF 30 of DEVLAND,T0IQ0082000000000300000000,Non Residential,140,AXLE ROAD,DEVLAND,220025459,3002668700,63029522,KVA,1,143,26802,0
LPU-Demand  | LV,610,May,2019,501293301,ERF 35 of DEVLAND,T0IQ0082000000000350000000,Non Residential,63,GIBBS ROAD,DEVLAND,220025498,3002668725,98369185,KVA,1,241,45282,0
LPU-Demand  | LV,611,May,2019,501293301,ERF 35 of DEVLAND,T0IQ0082000000000350000000,Non Residential,63,GIBBS ROAD,DEVLAND,220025498,3002668725,98369185,KWH,2,88162,57878,0
LPU-Demand  | LV,612,May,2019,501265470,ERF 75 of DEVLAND,T0IQ0082000000000750000000,Non Residential,9,GIBBS ROAD,DEVLAND,220025530,3002668743,94918095,KWH,2,203142,133363,0
LPU-Demand  | LV,613,May,2019,501265470,ERF 75 of DEVLAND,T0IQ0082000000000750000000,Non Residential,9,GIBBS ROAD,DEVLAND,220025530,3002668743,94918095,KVA,1,288,53976,0
LPU-Demand  | LV,614,May,2019,501275895,ERF 117 of DEVLAND EXT.1,T0IQ0082001000001170000000,Non Residential,56,EAST STREET,DEVLAND,220025603,3002676598,83834730,KWH,2,28734,18864,0
LPU-Demand  | LV,615,May,2019,501275895,ERF 117 of DEVLAND EXT.1,T0IQ0082001000001170000000,Non Residential,56,EAST STREET,DEVLAND,220025603,3002676598,83834730,KVA,1,91,17061,0
LPU-Demand  | LV,616,May,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KWH,2,49532,32518,0
LPU-Demand  | LV,617,May,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KVA,1,137,25650,0
LPU-Demand  | LV,618,May,2019,501277966,ERF 137 of DEVLAND EXT.1,T0IQ0082001000001370000000,Non Residential,2,KLEPKAS ROAD,DEVLAND,220025610,3002668781,98368177,KRH,3,825,162,0
LPU-Demand  | LV,619,May,2019,551474913,ERF 148 of DEVLAND EXT.1,T0IQ0082001000001480000000,Non Residential,46,EAST STREET,DEVLAND,220025635,3002668788,63034293,KWH,2,150392,98732,0
LPU-Demand  | LV,620,May,2019,551474913,ERF 148 of DEVLAND EXT.1,T0IQ0082001000001480000000,Non Residential,46,EAST STREET,DEVLAND,220025635,3002668788,63034293,KVA,1,332,62220,0
LPU-Demand  | LV,621,May,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KWH,2,26100,17135,0
LPU-Demand  | LV,622,May,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KVA,1,88,16646,0
LPU-Demand  | LV,623,May,2019,553598350,ERF 341 of MEREDALE,T0IQ0248000000003410000000,Non Residential,49,SHEILA STREET,MEREDALE,220025882,3002672550,93614477,KRH,3,1386,272,0
LPU-Demand  | LV,624,May,2019,501280493,ERF 560 of MONDEOR,T0IR0444000000005600000000,Non Residential,271,COLUMBINE AVENUE,MONDEOR,220025924,3002672565,63030137,KWH,2,42860,28138,0
LPU-Demand  | LV,625,May,2019,501280493,ERF 560 of MONDEOR,T0IR0444000000005600000000,Non Residential,271,COLUMBINE AVENUE,MONDEOR,220025924,3002672565,63030137,KVA,1,70,13104,0
LPU-Demand  | LV,626,May,2019,501220984,ERF 1314 of MONDEOR,T0IR0444000000013140000000,Non Residential,92,ORMONDE DRIVE,MONDEOR,220025963,3002672595,98369546,KVA,1,70,13104,0
